구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
98,대구,대구시 달서구 상인동 1321,35.8105693,128.5609391,임휴사,조계종
99,대구,대구광역시 달성군 가창면 헐티로 1068 (오리 151),35.7719536,128.5836871,운흥사,조계종
100,대구,대구광역시 달성군 가창면 남지장사길 95 (우록리 872),35.7343839,128.6270387,남지장사,조계종
101,대구,대구광역시 달성군 옥포면 용연사길 260 (반송리 882),35.7468062,128.5260136,용연사,조계종
102,대구,대구광역시 달성군 유가면 유가사길 161 (양리 144),35.7123655,128.5062019,유가사,조계종
103,대구,대구광역시 달성군 유가면 휴양림길 228 (용리 4),35.6878764,128.4967882,소재사,조계종
104,대구,대구광역시 달성군 현풍면 현풍동로27길 54-6 (부리 382),35.6981428,128.4451039,현풍포교당,조계종
105,대구,대구광역시 달성군 화원읍 화원휴양림길 132 (본리리 1137-1),35.7688159,128.5388896,용문사,조계종
106,대구,대구광역시 달성군 화원읍 비슬로 522길 41 (천내리 516-1),35.8027696,128.5018846,화장사,조계종
107,대구,대구광역시 동구 능성동 613-35,35.9779067,128.7330575,관암사,태고종
108,대구,대구광역시 동구 도동 672,35.9189535,128.6644026,관음사,조계종
109,대구,대구광역시 동구 도학동 35,35.9933115,128.7036871,동화사,조계종
110,대구,대구광역시 동구 도학동 620,35.9764847,128.7145353,북지장사,조계종
111,대구,대구광역시 동구 신무동 356-1,35.9953588,128.6726452,부인사,조계종
112,대구,대구광역시 동구 중대동 7,36.0015029,128.6404735,파계사,조계종
113,대구,대구광역시 남구 명덕로 54길 34,35.8540757,128.5973714,서봉사,선학원
114,인천,인천광역시 강화군 강화읍 고비고개로 188번길 112,37.7466034,126.4480033,청련사,조계종
115,인천,인천광역시 강화군 강화읍 청하동길 36번길 62,37.7429125,126.4749496,청수암,조계종
116,인천,인천광역시 강화군 길상면 전등사로 37-41,37.6329348,126.4849671,전등사,조계종
117,인천,인천광역시 강화군 내가면 연촌길 181,37.738198,126.410492,적석사,조계종
118,인천,인천광역시 강화군 삼산남로 823번길 44,37.6851901,126.3175457,보문사,조계종
119,인천,인천광역시 강화군 하점면 고려산로 61번길 270,37.7513857,126.4370123,백련사,조계종
120,인천,인천광역시 강화군 화도면 해안남로 1258번길 142,37.6084671,126.4458665,정수사,조계종
121,인천,인천광역시 중구 운남로 199-1,37.4973115,126.5279434,용궁사,태고종
122,인천,인천 연수구 청량로70번길 40-17,37.4168475,126.6600533,흥륜사,관음종
123,광주,광주광역시 동구 중앙로 197(금남로4가),35.151032,126.9157526,원각사,조계종
124,광주,광주광역시 동구 증심사길160번길 89(운림동),35.122296,126.9720737,약사사,조계종
125,광주,광주광역시 동구 증심사길 117(운림동),35.1311143,126.9622273,증심사,조계종
126,광주,광주광역시 북구 무등로 1514-35(금곡동),35.1484635,126.985595,원효사,조계종
127,광주,광주광역시 북구 삼정로66번길 42-10(두암동),35.1689955,126.9401248,신광사,조계종
128,광주,광주광역시 동구 증심사길 81(운림동),35.1329081,126.9615509,문빈정사,조계종
129,대전,대전광역시 동구 대전로 316번길 205,36.3012475,127.4695099,고산사,조계종
130,대전,대전광역시 동구 대전로 592-20,36.3140061,127.4422687,심광사,선학원
131,대전,대전광역시 서구 배재로197번길 200,36.3225865,127.3601903,내원사,태고종
132,대전,대전광역시 중구 부사로 70,36.306671,127.4335188,복전암(구 복전선원),선학원
133,대전,대전광역시 중구 정생로 403,36.2362109,127.3909954,중암사,조계종
134,대전,대전광역시 대덕구 비래골길 47-74,36.3729771,127.4510141,비래사,조계종
135,울산,울산광역시 동구 옥류로 93(동부동),35.5482765,129.418974,동축사,조계종
136,울산,울산광역시 동구 봉수로 55(화정동),35.4980115,129.4109889,월봉사,조계종
137,울산,울산광역시 북구 대안4길 280(대안동),35.6611763,129.3906319,신흥사,조계종
